"id","classification","score","title","description","topic_id","created_at","updated_at","privacy_related","docbot_regex"
161,"good",30,"You are entitled to a refund if certain thresholds or standards are not met by the service","",54,"2018-01-16 15:26:09.146306","2021-05-06 08:43:46.929764",NULL,""
208,"bad",50,"Many third parties are involved in operating the service","",48,"2018-01-16 15:26:10.085781","2018-07-11 08:34:24.680438",NULL,NULL
193,"good",25,"Your personal data is not sold","This service makes an explicit promise not to sell ""personal data"" of users.",41,"2018-01-16 15:26:09.775334","2021-02-08 02:39:01.657398",True,""
158,"good",10,"Accessibility to this service is guaranteed at 99% or more","",32,"2018-01-16 15:26:09.102354","2018-07-26 14:49:49.961547",NULL,NULL
182,"bad",50,"If you offer suggestions to the service, they become the owner of the ideas that you give them","The service can claim ownership on feedback, proposals, ideas and suggestions submitted by the users, who may waive their ""moral rights"" on that feedback.",27,"2018-01-16 15:26:09.599171","2021-02-25 18:53:35.651935",NULL,""
374,"good",50,"The cookies used by this service do not contain information that would personally identify you","The cookies used only collect anonymous, aggregated data that cannot be linked to a unique identity.",25,"2018-10-21 10:06:24.631589","2021-02-25 10:53:10.117009",True,""
186,"bad",30,"This service assumes no liability for unauthorized access to your personal information","",41,"2018-01-16 15:26:09.663458","2018-08-02 10:12:00.793674",NULL,NULL
189,"neutral",30,"Your private content may be accessed by people working for the service","",41,"2018-01-16 15:26:09.700286","2018-08-02 10:12:36.942645",NULL,NULL
194,"good",40,"The service does not index or open files that you upload","",41,"2018-01-16 15:26:09.788045","2018-08-02 10:13:47.018723",NULL,NULL
190,"neutral",10,"Your personal data is aggregated into statistics","Your personal data is used for statistics in a de-identified/aggregated form (i.e. not directly linked to a unique identity) to analyse trends, for research and for analytics.",41,"2018-01-16 15:26:09.717516","2021-02-25 11:55:50.916941",True,""
279,"neutral",50,"This service assumes no responsibility and liability for the contents of links to other websites","The service rejects any responsibility for the contents of other websites to which it links.",31,"2018-08-24 00:18:08.427476","2018-08-24 00:18:08.427476",NULL,NULL
207,"neutral",0,"Third parties are involved in operating the service","",48,"2018-01-16 15:26:10.072322","2021-01-21 23:25:01.924991",NULL,NULL
210,"good",20,"Third parties used by the service are bound by confidentiality obligations","The Third Parties accessing your personal information must keep it confidential and only use it for limited purposes.",48,"2018-01-16 15:26:10.160599","2021-02-25 10:55:03.746376",NULL,""
289,"bad",50,"The service does not guarantee that software errors will be corrected","Users agree to use the service and its software as provided and accept that any errors within that software may not be corrected.",32,"2018-08-26 03:58:55.464172","2018-08-26 03:58:55.464172",NULL,NULL
183,"good",50,"You maintain ownership of your content","This service does not claim ownership over user-generated content or materials, and the user doesn't need to waive any moral rights by posting owned content.",27,"2018-01-16 15:26:09.611656","2021-02-27 11:57:10.726037",NULL,""
309,"neutral",50,"You have the right to request lower Charges from Third Party Providers","For a service that allows you to buy goods or services from a third party (for instance, an e-commerce platform), the service allows buyers to request a lower price from the seller.",34,"2018-08-27 10:35:04.874643","2021-03-15 19:32:01.482567",NULL,""
301,"good",30,"The service reviews its privacy policy on a regular basis","Users know the date the privacy policy was last updated and can thus infer the next time it will be reviewed. This gives users more certainty about how long they can trust the current policy to apply.",46,"2018-08-27 04:06:12.780745","2018-08-27 04:06:12.780745",True,NULL
197,"good",50,"Archives of their agreements are provided so that changes can be viewed over time","This case applies to Services whose agreements provide previous versions, so that users can compare them and understand how the Service seems to evolve regarding user rights.",36,"2018-01-16 15:26:09.846745","2021-05-14 12:47:29.83971",NULL,""
288,"neutral",10,"The service does not guarantee accuracy or reliability of the information provided","This service makes no warranty regarding the accuracy or reliability of any information that is given on its website or the results that may be obtained from the use of the service.",32,"2018-08-26 03:47:34.754888","2021-05-14 14:37:01.345548",NULL,""
299,"neutral",10,"The service informs you that its privacy policy does not apply to third party websites","The service states that whenever it links to third party websites or applications, its privacy policy does not apply. Those third party websites or applications hosted or operated by other organizations may have their own privacy policies.",36,"2018-08-27 02:47:12.321969","2021-06-05 18:05:08.855702",NULL,""
286,"neutral",20,"The service is provided 'as is' and to be used at your sole risk","This service does not provide any guarantees as to its usability or fitness for the users' purposes. Users agree to use it at their own risk, accepting any possible bugs, malfunctions or harm to their devices.",32,"2018-08-25 23:38:08.16021","2021-06-05 18:05:24.110855",NULL,"^((?=.*\""as is\"")|(?=.*\""as available\""))"
292,"neutral",35,"This service does not condone any ideas contained in its user-generated contents","",52,"2018-08-26 22:16:14.49398","2021-03-27 16:55:09.803169",NULL,"^(?=.*user content)((?=.*we do not)|(?=.*does not))((?=.*promote)|(?=.*condone)|(?=.*endorse))"
295,"neutral",10,"Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision","Even if the service does not or not always enforce all of the rules or provisions contained in its terms, they still apply. Users can at a later time still be held accountable for violating provisions that have not been enforced consistently.",31,"2018-08-26 23:19:50.328259","2021-03-27 16:55:56.991983",NULL,"^(((?=.*does not)|((?=.*doesn)(?=.*t))|(?=.*should not)|(?=.*we do not)|(?=.*failure)|(?=.*fails)|(?=.*we fail))((?=.*exercise)|(?=.*enforce)|(?=.*execution))((?=.*waive)))"
385,"good",50,"Tracking cookies refused will not limit your ability to use the service","Blocking tracking technologies will not negatively impact your use of the service.",25,"2019-05-11 14:24:25.487129","2021-02-25 10:51:47.272869",True,""
144,"neutral",0,"Other applicable rules, terms, conditions or guidelines","Use of the service is subject also to an exhaustive list of other documents containing rules, guidelines, terms or policies (in addition to the obvious Terms of Service/Terms of Use and Privacy Policy/Data Use Policy)",31,"2018-01-16 15:26:08.74763","2019-05-12 13:52:56.633526",NULL,NULL
297,"good",50,"Information is provided about how they collect personal data","The service details situations in which they collect personal information or means by which they do.",36,"2018-08-27 01:42:07.244108","2021-05-06 08:07:00.41803",True,""
180,"neutral",50,"This service can use your content for all their existing and future services","",27,"2018-01-16 15:26:09.567984","2023-04-03 18:57:54.870897",NULL,""
303,"good",50,"The data retention period is kept to the minimum necessary for fulfilling its purposes","The service will remove personal data from its systems once it is no longer required. Depending on the type of information and the reason it was collected, data retention periods will vary.",45,"2018-08-27 05:14:18.155888","2021-05-06 08:07:14.388141",True,""
306,"good",40," A list of all cookies set by the website is provided","The service provides users with a complete list of all first and third party cookies its website sets and an explanation of their uses. This information can be valuable for users to make an informed choice whether to allow those cookies.",25,"2018-08-27 06:34:01.8481","2021-05-06 08:07:29.4445",True,""
128,"bad",70,"Third-party cookies are used for advertising","The service's website sets third-party cookies (cookies that do not belong to their domain) for purposes not including statistics and analytics.",25,"2018-01-16 15:26:08.349479","2021-05-06 08:27:20.175213",True,""
291,"neutral",50,"You are responsible for any risks, damages, or losses that may incur by downloading materials","Users are responsible for any harm to their computer system or loss of data they may incur through the download of materials from the service.",32,"2018-08-26 04:23:47.990049","2021-05-06 08:44:01.637557",NULL,""
298,"good",60,"You can access most of the pages on the service's website without revealing any personal information","The service does not require users to reveal personal information for most of its website. However, it may still collect anonymous logs.",41,"2018-08-27 01:48:06.184033","2021-05-06 08:44:07.774025",True,""
305,"good",60,"The service will resist legal requests for your information where reasonably possible","The service will attempt to protect user information to a great extent, even so far as stating that they will only follow legal requirements to disclose user information in circumstances where this cannot be reasonably resisted.",28,"2018-08-27 05:47:31.01576","2021-05-06 08:44:18.937551",True,""
304,"bad",40,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period","The data retention period states how long a service keeps user data. In this case, the service may anonymize the personal data after its retention period is over and use it for analytical or research purposes.",45,"2018-08-27 05:34:45.352715","2021-05-06 08:44:35.514501",True,""
296,"good",80,"Your information is only shared with third parties when given specific consent","The service does not share user information with any third parties unless users specifically give it permission to do so.",48,"2018-08-27 01:35:24.964651","2021-05-06 08:44:54.629626",True,""
217,"bad",5,"Tracking pixels are used in service-to-user communication","The service tracks the user count or some actions of the user; this is usually used for statistics. For example, emails sent by a service can contain a pixel tag, which is a small, clear image that can tell them whether or not you have opened an email and what your IP address is.",25,"2018-01-16 15:26:10.392302","2019-09-28 21:12:42.211513",True,NULL
131,"good",90,"Content is published under a free license instead of a bilateral one","User-generated content, such as posts or comments, is published under a free license, meaning other users can reuse it (e.g. Creative Commons license).",30,"2018-01-16 15:26:08.406054","2021-02-27 14:16:11.795721",NULL,""
221,"good",35,"The service deletes tracking data after a period of time and allows you to opt out","",25,"2018-01-16 15:26:10.479156","2019-09-28 21:13:15.739423",NULL,NULL
315,"neutral",15,"The posting of pornographic content is prohibited","Users are not allowed to post any content of pornographic nature. This includes adult content, things that are sexually explicit, or obscene.",52,"2018-08-29 02:25:34.663823","2021-05-06 08:21:13.533469",NULL,""
